file,start_time,end_time,cells_evaluated,relocation_times,network_stable_times,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
experiment_logs_1.txt,70,368,29,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[182, 182, 182, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 243, 368, 368, 368, 368, 368, 368, 368, 368, 0]",109,129,142,151,159,165,171,176,180,184,187,190,192,195,197,199,201,203,204,206,207,209,211,212,214,214,215,216,217
experiment_logs_2.txt,80,319,29,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[193, 193, 193, 254, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 0]",119,139,151,161,169,175,181,185,189,193,196,200,202,204,207,209,211,212,214,215,217,219,220,222,224,225,225,226,227
experiment_logs_3.txt,214,511,29,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[325, 325, 386, 386, 386, 386, 386, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 511, 511, 0]",253,273,286,295,303,309,315,320,324,328,331,334,336,339,341,343,345,347,348,350,351,353,354,356,358,358,359,360,361
experiment_logs_4.txt,313,1094,30,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 31, 21, 21, 1, 3, 1, 1]","[424, 487, 487, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 569, 639, 712, 712, 712, 712, 712, 1094]",352,372,384,394,402,408,414,418,422,426,429,433,435,437,440,442,444,445,447,448,450,452,453,455,456,457,458,459,460
experiment_logs_5.txt,224,522,29,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[337, 337, 337, 460, 460, 460, 460, 460, 460, 460, 460, 460, 460, 460, 460, 460, 460, 460, 460, 460, 522, 522, 522, 522, 522, 522, 522, 522, 522, 0]",263,283,295,305,313,319,325,329,333,337,340,344,346,348,351,353,355,356,358,359,361,363,364,366,367,368,369,370,371
experiment_logs_6.txt,96,332,29,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[209, 209, 209, 270, 270, 270, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 332, 0]",136,155,168,177,185,192,197,202,206,210,213,216,219,221,223,226,227,229,230,232,234,235,237,238,240,241,242,242,243
experiment_logs_7.txt,133,734,29,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 31, 6, 6, 1, 3, 1]","[246, 246, 308, 308, 393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 540, 540, 540, 540, 540, 540, 734, 0]",172,192,204,214,222,228,234,238,242,246,249,253,255,257,260,262,264,265,267,268,270,272,273,275,276,277,278,279,280
experiment_logs_8.txt,135,369,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[247, 247, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 369, 369, 369, 369, 369, 369, 369, 369, 369, 369, 0, 0]",175,194,207,216,224,231,236,241,245,249,252,255,258,260,262,265,266,268,269,272,273,275,276,278,279,280,281,282,283
experiment_logs_9.txt,107,405,30,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[218, 218, 218, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 343, 405, 405, 405, 405, 405, 405, 405, 405, 405, 405, 405, 405, 405]",146,166,179,188,196,202,208,213,217,221,224,227,229,232,234,236,238,240,241,243,244,246,248,249,251,252,252,253,254
experiment_logs_10.txt,86,589,30,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[198, 263, 263, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 401, 401, 401, 465, 589]",125,145,158,167,175,181,187,192,196,200,204,207,209,212,214,216,218,219,221,223,224,226,227,229,231,231,232,233,234
